file_name|lambda|num_iter|mean
log_nes_run_1710905140.2514675|12|31|[-4.2768, -21.9073, -2.0103, -19.9968, -2.5976, 4.8425, -1.5183, 4.6485, -161.4058, -152.8634, -128.6687, -148.4798]
log_nes_run_1710905159.2473178|30|61|[-3.2228, -15.0618, 4.8749, -14.3664, -1.4457, 5.4323, -2.9956, 5.3564, -135.3355, -128.6026, -143.8097, -155.0273]
log_nes_run_1710905182.7658892|18|49|[-7.1651, -17.9050, -0.9162, -14.4933, -1.5372, 5.4585, -1.5246, 7.6181, -113.4046, -126.1869, -109.1762, -135.4435]
log_nes_run_1710905232.3367069|24|82|[-3.5849, -15.3320, 2.2027, -15.1746, -1.0152, 5.6181, -2.2758, 5.3231, -144.4964, -144.8984, -150.6127, -139.4817]
log_nes_run_1710907228.2741542|12|66|[-0.8985, -18.5079, -2.6169, -17.7898, -2.3493, 7.0878, -1.9678, 7.1825, -139.6073, -99.2844, -117.5838, -132.5900]
log_nes_run_1710909983.9209728|18|63|[-5.0899, -17.5584, 1.8700, -17.0657, -0.7465, 6.7612, -2.5675, 6.1824, -130.8861, -122.0867, -114.3924, -132.4417]
log_nes_run_1710910957.6149852|12|82|[-1.3030, -18.0414, 2.3252, -15.7817, -2.5416, 8.3708, -3.1785, 5.5744, -134.5716, -132.0927, -131.0051, -179.0242]
log_nes_run_1710913510.4682877|30|28|[-3.6432, -22.4095, 1.6694, -18.4797, -2.4210, 6.3633, -0.6230, 4.8720, -125.8644, -169.2054, -142.0368, -121.2617]
log_nes_run_1710914450.2804382|24|77|[-3.7516, -17.0754, 0.5169, -16.9867, -1.7099, 6.3543, -2.7171, 6.9696, -151.1259, -132.1761, -139.0204, -143.2815]
log_nes_run_1710915780.1375225|18|65|[-6.8114, -17.8810, -0.1118, -17.1470, -1.0030, 6.1422, -2.7404, 7.8666, -158.8600, -119.3800, -135.8800, -172.2100]
log_nes_run_1710916026.945021|12|22|[-4.8202, -21.3358, 2.5580, -17.7112, -2.2108, 6.2851, -2.7155, 6.5889, -157.2115, -129.6983, -138.1479, -159.1128]
log_nes_run_1710917426.8082259|66|91|[-3.7037, -17.8694, 1.2897, -17.5144, -1.8504, 6.9532, -2.9349, 6.9959, -142.7398, -139.4632, -136.5470, -151.7058]
log_nes_run_1710917967.5100954|30|39|[-2.5309, -20.8053, 3.3847, -16.3249, -2.3194, 6.1081, -0.7169, 6.0291, -143.8569, -133.5060, -144.4319, -120.9815]
log_nes_run_1710921482.1719205|18|31|[-3.7218, -17.0897, 0.8127, -14.4367, -1.7050, 4.4626, -0.9397, 4.7463, -145.9725, -147.2159, -128.0566, -136.5682]
log_nes_run_1710922710.257971|24|74|[-3.3716, -18.8928, 2.0456, -17.8711, -1.9456, 7.5325, -3.0550, 5.2849, -154.5053, -128.1972, -153.9579, -126.0311]
log_nes_run_1710924238.1768756|30|97|[-3.9476, -16.2085, 0.6403, -15.9924, -1.6563, 6.2563, -2.4772, 6.2802, -121.3310, -142.9524, -143.9791, -142.7607]
log_nes_run_1710924845.6865537|60|104|[-3.1221, -17.9677, 2.9336, -17.6141, -2.0506, 6.9176, -3.1932, 5.7372, -139.5956, -156.3833, -146.5207, -143.7476]
log_nes_run_1710931194.200649|24|38|[-5.1852, -19.3465, 1.1607, -17.1772, -1.9167, 6.1330, -1.6466, 6.7775, -123.3271, -126.0780, -145.6519, -111.2625]
log_nes_run_1710935325.0607572|36|40|[-6.2353, -35.6991, 7.4497, -20.8095, -4.2376, 5.3746, 3.5542, 3.9470, -167.7660, -182.8736, -111.5317, -112.7882]
log_nes_run_1710935927.7947888|42|98|[-3.6276, -18.1008, 0.6265, -16.9030, -1.9498, 7.1188, -2.8061, 5.9496, -132.1848, -133.3412, -135.6932, -161.8084]
log_nes_run_1710941674.4005508|66|114|[-3.2813, -17.5105, 2.4867, -17.1354, -1.9573, 6.6701, -3.1165, 5.9826, -137.6700, -146.8335, -137.4548, -143.1024]
log_nes_run_1710942858.269896|36|72|[-4.7717, -17.5919, 1.1756, -18.4940, -1.8817, 4.2741, -3.0644, 7.5930, -142.9121, -128.4126, -155.9206, -156.3739]
log_nes_run_1710948881.9879634|60|89|[-2.7821, -17.7581, -1.5914, -17.2026, -1.8140, 6.7088, -1.8473, 6.1140, -123.0534, -127.7338, -148.6591, -140.2531]
log_nes_run_1710952393.559362|42|99|[-4.1629, -18.6211, 2.3306, -17.5392, -1.6719, 6.7402, -3.0724, 6.0538, -151.8353, -123.3364, -146.2680, -151.8975]
log_nes_run_1710954803.510094|36|83|[-4.0483, -17.8151, 1.7076, -17.3793, -1.6971, 7.6308, -2.9952, 5.7453, -142.7933, -161.7846, -131.0712, -144.0949]
log_nes_run_1710967397.7323058|36|73|[-5.5974, -18.9659, 3.2279, -18.0470, -1.7049, 6.1528, -3.5134, 5.4227, -146.1909, -128.8970, -139.3745, -148.9975]
log_nes_run_1710970741.5605762|42|127|[-2.4814, -17.8025, 2.8076, -17.3774, -1.7155, 5.9300, -2.8057, 5.8774, -136.8175, -137.1566, -138.1623, -152.3920]
log_nes_run_1710971857.3353662|66|152|[-2.7375, -17.5606, 0.6019, -16.9555, -1.7579, 7.2409, -2.3785, 6.6724, -126.6213, -137.6249, -137.2022, -152.3387]
log_nes_run_1710972170.8091884|60|79|[-1.4923, -18.7468, 0.7381, -18.2540, -2.1603, 7.3711, -2.6306, 6.2428, -152.9118, -149.6786, -145.4699, -147.7034]
log_nes_run_1710978815.1811128|54|161|[-4.0497, -17.4797, 1.7914, -17.9879, -1.3420, 5.9542, -2.8559, 7.1419, -142.3002, -136.9801, -120.3240, -133.1850]
log_nes_run_1710994842.4034588|42|84|[-4.9123, -19.0765, 1.0564, -18.7916, -2.1320, 5.0352, -3.3736, 4.4416, -132.9763, -135.3037, -133.9670, -119.9170]
log_nes_run_1711010128.1214368|48|89|[-3.1453, -17.7430, 3.7847, -17.1785, -1.9238, 6.2985, -3.2713, 5.9589, -146.3036, -139.1581, -146.0574, -152.7105]
log_nes_run_1711014385.7042594|54|27|[-3.2310, -21.7627, 2.0076, -16.4524, -2.1851, 6.4793, -0.6030, 4.7955, -139.1564, -115.1923, -131.0310, -162.2309]
