u,unit_type,grat_orientation,grat_contrast,grat_spat_freq,grat_phase,response,smoothed_response
2,excit,0,0.0,0.01,0,0.0,0.0
2,excit,0,0.0,0.01,90,0.00266312,0.0023968
2,excit,0,0.0,0.01,180,0.0,0.0
2,excit,0,0.0,0.01,270,0.00218102,0.00218102
2,excit,0,0.0,0.0240215,0,0.00239808,0.00239808
2,excit,0,0.0,0.0240215,90,0.0,0.0
2,excit,0,0.0,0.0240215,180,0.000749625,0.000749625
2,excit,0,0.0,0.0240215,270,0.0,0.0
2,excit,0,0.0,0.0577032,0,0.00257069,0.00257069
2,excit,0,0.0,0.0577032,90,0.00149925,0.00149925
2,excit,0,0.0,0.0577032,180,0.000666223,0.000932712
2,excit,0,0.0,0.0577032,270,0.0,0.0
2,excit,0,0.0,0.138612,0,0.00159872,0.0011191
2,excit,0,0.0,0.138612,90,0.000799361,0.000799361
2,excit,0,0.0,0.138612,180,0.0,0.0
2,excit,0,0.0,0.138612,270,0.0,0.0
2,excit,0,0.0,0.332966,0,0.00149925,0.00149925
2,excit,0,0.0,0.332966,90,0.0,0.0
2,excit,0,0.0,0.332966,180,0.0,0.0008
2,excit,0,0.0,0.332966,270,0.000922509,0.00147601
2,excit,0,0.0,0.799834,0,0.00359712,0.00311751
2,excit,0,0.0,0.799834,90,0.00179856,0.00167866
2,excit,0,0.0,0.799834,180,0.0,0.0
2,excit,0,0.0,0.799834,270,0.0,0.000436205
2,excit,0,0.0432773,0.01,0,0.0017138,0.00205656
2,excit,0,0.0432773,0.01,90,0.00149925,0.00194903
2,excit,0,0.0432773,0.01,180,0.000922509,0.00147601
2,excit,0,0.0432773,0.01,270,0.0,0.0
2,excit,0,0.0432773,0.0240215,0,0.0,0.0
2,excit,0,0.0432773,0.0240215,90,0.00119904,0.00143885
2,excit,0,0.0432773,0.0240215,180,0.0,0.0
2,excit,0,0.0432773,0.0240215,270,0.000749625,0.000749625
2,excit,0,0.0432773,0.0577032,0,0.0,0.0
2,excit,0,0.0432773,0.0577032,90,0.00266667,0.0024
2,excit,0,0.0432773,0.0577032,180,0.000705219,0.000987306
2,excit,0,0.0432773,0.0577032,270,0.0,0.00029985
2,excit,0,0.0432773,0.138612,0,0.0,0.0
2,excit,0,0.0432773,0.138612,90,0.000999001,0.000599401
2,excit,0,0.0432773,0.138612,180,0.0,0.0
2,excit,0,0.0432773,0.138612,270,0.0,0.000532623
2,excit,0,0.0432773,0.332966,0,0.000856164,0.000856164
2,excit,0,0.0432773,0.332966,90,0.0014985,0.0015984
2,excit,0,0.0432773,0.332966,180,0.00149925,0.00134933
2,excit,0,0.0432773,0.332966,270,0.000856164,0.000513699
2,excit,0,0.0432773,0.799834,0,0.00239808,0.0028777
2,excit,0,0.0432773,0.799834,90,0.00256849,0.00239726
2,excit,0,0.0432773,0.799834,180,0.00109051,0.00109051
2,excit,0,0.0432773,0.799834,270,0.000999001,0.000799201
2,excit,0,0.103411,0.01,0,0.000705219,0.000705219
2,excit,0,0.103411,0.01,90,0.001998,0.001998
2,excit,0,0.103411,0.01,180,0.0,0.0
2,excit,0,0.103411,0.01,270,0.001,0.0008
2,excit,0,0.103411,0.0240215,0,0.0,0.00087241
2,excit,0,0.103411,0.0240215,90,0.00179856,0.00155875
2,excit,0,0.103411,0.0240215,180,0.000666223,0.000799467
