unit_type,u,grat_contrast,grat_orientation,response,smoothed_response
excit,2,0.0,0,0.0007629298958333333,0.0008282981874999999
excit,2,0.0,15,0.0009953057083333333,0.0009843405000000002
excit,2,0.0,30,0.0010273802291666666,0.0011040508749999998
excit,2,0.0,45,0.0009882842708333333,0.0009227426666666667
excit,2,0.0,60,0.0006961306458333334,0.0007653161458333334
excit,2,0.0,75,0.0008028001458333334,0.0008177847916666666
excit,2,0.0,90,0.0009796082083333333,0.0009703950833333334
excit,2,0.0,105,0.0012022332708333334,0.0011948479583333332
excit,2,0.0,120,0.0009623405833333334,0.0009682721666666666
excit,2,0.0,135,0.0010741669375,0.001046376375
excit,2,0.0,150,0.0010087077291666667,0.0010401713333333333
excit,2,0.0,165,0.0008283867083333334,0.0009298242708333333
excit,2,0.0432773,0,0.000932353625,0.0009889096875
excit,2,0.0432773,15,0.0008049283333333334,0.0008242585416666667
excit,2,0.0432773,30,0.0007538708958333334,0.0007336212291666667
excit,2,0.0432773,45,0.0009794378125,0.000960863375
excit,2,0.0432773,60,0.0007683318125,0.0008836590000000001
excit,2,0.0432773,75,0.0007835250416666667,0.0007929498958333334
excit,2,0.0432773,90,0.0009803465416666666,0.0010076461666666666
excit,2,0.0432773,105,0.000772872,0.0008064344791666667
excit,2,0.0432773,120,0.0008974006458333333,0.0008555303125
excit,2,0.0432773,135,0.0009268003541666667,0.0010007598125
excit,2,0.0432773,150,0.0010365633958333332,0.0011319169791666665
excit,2,0.0432773,165,0.0008129954791666667,0.0008311177708333334
excit,2,0.103411,0,0.0009819240833333334,0.0009500954583333333
excit,2,0.103411,15,0.0009123603333333333,0.000905666625
excit,2,0.103411,30,0.0007834430416666666,0.00082280025
excit,2,0.103411,45,0.0011905098125,0.0011444405416666666
excit,2,0.103411,60,0.0008277579375,0.000820377875
excit,2,0.103411,75,0.0008362708125,0.0009098896041666666
excit,2,0.103411,90,0.0007958679791666667,0.0009034336875
excit,2,0.103411,105,0.0009806426458333333,0.0011353737083333335
excit,2,0.103411,120,0.0007404439166666666,0.0007833663958333333
excit,2,0.103411,135,0.0010807490208333333,0.001064351125
excit,2,0.103411,150,0.0009143487916666667,0.0009445633125
excit,2,0.103411,165,0.0011691261666666667,0.0012391375
excit,2,0.186966,0,0.001306778875,0.0014554275625000002
excit,2,0.186966,15,0.0010589082708333333,0.0011076454791666666
excit,2,0.186966,30,0.0012358421875,0.001168096125
excit,2,0.186966,45,0.0011710396666666666,0.0011389203541666666
excit,2,0.186966,60,0.0012736636249999999,0.001279346875
excit,2,0.186966,75,0.0014554827708333333,0.0014489505833333333
excit,2,0.186966,90,0.0013421366458333335,0.0013040898541666667
excit,2,0.186966,105,0.0015552873749999998,0.0014688816666666665
excit,2,0.186966,120,0.0011827046041666667,0.0011361010416666667
excit,2,0.186966,135,0.0008963413958333333,0.0008783257291666667
excit,2,0.186966,150,0.0013414345416666669,0.0014390377291666667
excit,2,0.186966,165,0.0015402223958333333,0.0015090566041666665
excit,2,0.303066,0,0.0017019634791666665,0.001693722375
excit,2,0.303066,15,0.0014236249791666669,0.0014321767083333332
excit,2,0.303066,30,0.0013810376250000002,0.0014259760833333333
excit,2,0.303066,45,0.0015792970416666668,0.0015517931458333334
excit,2,0.303066,60,0.0012301932916666666,0.0012581216458333333
excit,2,0.303066,75,0.0013240363958333331,0.001294334
excit,2,0.303066,90,0.0015036512916666667,0.0015657498125000002
excit,2,0.303066,105,0.0012673555624999999,0.0013029083958333333
excit,2,0.303066,120,0.0012270076875,0.0013136204791666668
excit,2,0.303066,135,0.0010801867708333335,0.0011670098958333334
excit,2,0.303066,150,0.001529795083333333,0.0015550220416666665
excit,2,0.303066,165,0.0013844130416666668,0.0013994961875
excit,2,0.464386,0,0.0018157027291666667,0.0017859131666666667
excit,2,0.464386,15,0.0013614611875000001,0.0014488621041666668
excit,2,0.464386,30,0.001477471625,0.0014823758541666666
excit,2,0.464386,45,0.0015234420625,0.0015445069166666666
excit,2,0.464386,60,0.0016427124791666666,0.0016484886666666666
excit,2,0.464386,75,0.001651951625,0.0017009016458333333
excit,2,0.464386,90,0.0016683716458333333,0.0016439635416666666
excit,2,0.464386,105,0.0016176546875000001,0.0017247237916666665
excit,2,0.464386,120,0.001000815375,0.0010265436875
excit,2,0.464386,135,0.0014697737291666667,0.0015151509166666667
excit,2,0.464386,150,0.0016340108333333335,0.0016402942708333334
excit,2,0.464386,165,0.0020172729166666667,0.0019227355208333333
excit,2,0.68854,0,0.0022313579583333335,0.002164218375
excit,2,0.68854,15,0.0023397300208333333,0.0021908817916666667
excit,2,0.68854,30,0.0017661347500000002,0.0017417934791666668
excit,2,0.68854,45,0.0014780959791666666,0.0014080013541666666
excit,2,0.68854,60,0.0020660725,0.0019908520625
excit,2,0.68854,75,0.0017264877500000001,0.0016887769375
excit,2,0.68854,90,0.001661637625,0.0015650792291666668
excit,2,0.68854,105,0.0017953498125000001,0.0018002895416666667
excit,2,0.68854,120,0.0012839963333333333,0.0012570039166666666
excit,2,0.68854,135,0.0017236508958333333,0.0017208948541666668
excit,2,0.68854,150,0.002044213875,0.0019623906875
excit,2,0.68854,165,0.0022969047916666665,0.0022416100625
excit,2,1.0,0,0.0018234059166666666,0.0017562859375
excit,2,1.0,15,0.0021357120416666668,0.0020567503125
excit,2,1.0,30,0.0019063159791666666,0.0019477026041666665
excit,2,1.0,45,0.0015926598958333333,0.001510650625
excit,2,1.0,60,0.0016451286458333333,0.0016495729583333332
excit,2,1.0,75,0.0017684077083333334,0.0016687356458333334
excit,2,1.0,90,0.001956177083333333,0.0019183850416666665
excit,2,1.0,105,0.0017574281041666667,0.0017118112916666669
excit,2,1.0,120,0.0019101724999999999,0.0018292856666666665
excit,2,1.0,135,0.0021875939791666664,0.00216177225
excit,2,1.0,150,0.0023182929583333333,0.0022581087916666667
excit,2,1.0,165,0.00198622375,0.0019921159583333333
excit,4,0.0,0,0.0016905023125,0.0018204255833333333
excit,4,0.0,15,0.001730645625,0.0017483533541666667
excit,4,0.0,30,0.0012761817708333333,0.0013182709791666667
excit,4,0.0,45,0.0014308022916666666,0.0014764639166666667
excit,4,0.0,60,0.0014399673541666668,0.0016001299375
excit,4,0.0,75,0.0014220635625,0.0015655536874999998
excit,4,0.0,90,0.0013446397291666668,0.0015253405833333333
excit,4,0.0,105,0.0014143170625,0.001579986875
excit,4,0.0,120,0.0014224839166666666,0.0014031093333333334
excit,4,0.0,135,0.0015013871666666667,0.0015514698541666666
excit,4,0.0,150,0.0018894503333333334,0.0019598800833333335
excit,4,0.0,165,0.0014347661041666665,0.0015789295833333334
excit,4,0.0432773,0,0.0019518023958333332,0.002073075125
excit,4,0.0432773,15,0.0016439440416666665,0.0016884259166666667
excit,4,0.0432773,30,0.0018866865,0.0018942321875
excit,4,0.0432773,45,0.0017565893333333334,0.001879215
excit,4,0.0432773,60,0.0021867392916666666,0.0021296824583333335
excit,4,0.0432773,75,0.0015464271041666668,0.0015861014166666668
excit,4,0.0432773,90,0.0021137701666666666,0.0021218181666666667
excit,4,0.0432773,105,0.0018452692916666666,0.0018588985208333334
excit,4,0.0432773,120,0.00149668975,0.0015732905625000001
excit,4,0.0432773,135,0.0019874178958333333,0.0020382012083333336
excit,4,0.0432773,150,0.0016591963125,0.0018181822708333332
excit,4,0.0432773,165,0.0014303654375,0.0015488714375
excit,4,0.103411,0,0.0018879492708333333,0.0019102708333333333
excit,4,0.103411,15,0.001952819625,0.0019713068541666666
excit,4,0.103411,30,0.0023443790208333335,0.0022766304583333335
excit,4,0.103411,45,0.0015969712083333332,0.0017327886041666669
excit,4,0.103411,60,0.0023475749999999997,0.0023036420833333336
excit,4,0.103411,75,0.002000741375,0.0021555008125
excit,4,0.103411,90,0.0022732775,0.002171257145833333
excit,4,0.103411,105,0.002089492729166667,0.002028616541666667
excit,4,0.103411,120,0.0023956036249999997,0.0023112113541666666
excit,4,0.103411,135,0.001721909125,0.0018130675000000002
excit,4,0.103411,150,0.0017140741458333334,0.0018350150416666666
excit,4,0.103411,165,0.0023670010416666667,0.002375967666666667
excit,4,0.186966,0,0.0024641447499999997,0.0025422469791666668
excit,4,0.186966,15,0.0024152286041666665,0.002538236604166667
excit,4,0.186966,30,0.0020795099375,0.002136974833333333
excit,4,0.186966,45,0.0017772120208333333,0.0018317228124999998
excit,4,0.186966,60,0.0027321083958333336,0.002668821375
